id,identificador,ubicacion,latitud,longitud,municipio_id,provincia_id,id_departamento,error
950,BUE067-02,NIDO Lanus,-34.729.264,-58.350.367,BUE067,AR-B,1261,1261 is not in list
653,BUE067-03,FPIII,-34.715.680,-58.417.440,BUE067,AR-B,1261,1261 is not in list
951,BUE067-04,Punto Digital Remedios de Escalada,-34.715.637,-58.417.224,BUE067,AR-B,1261,1261 is not in list
246,BUE067-05,Fundacion Pupi,-34.715.680,-58.417.448,BUE067,AR-B,1261,1261 is not in list
949,BUE067-06,Punto digital,-34.715.458,-58.370.417,BUE067,AR-B,1261,1261 is not in list
54,BUE067-07,Plaza Tacuari,-34.696.416,-58.370.417,BUE067,AR-B,1261,1261 is not in list
52,BUE067-08,Cancha de Futbol Barrial,-34.722.333,-58.387.694,BUE067,AR-B,1261,1261 is not in list
55,BUE067-09,Plaza Las Colinas,-34.723.590,-58.368.520,BUE067,AR-B,1261,1261 is not in list
51,BUE067-10,Punto Digital,-34.715.192,-58.387.366,BUE067,AR-B,1261,1261 is not in list
53,BUE067-11,Pza.Sarmiento,-34.713.139,-58.382.444,BUE067,AR-B,1261,1261 is not in list
56,BUE067-12,Plaza San Martin,-34.689.929,-58.370.417,BUE067,AR-B,1261,1261 is not in list
57,BUE067-13,Pza.La Torre,-34.722.250,-58.387.771,BUE067,AR-B,1261,1261 is not in list
737,SFE242-01,Municipio de Pozo Borrado,-28.937.222,-61.704.167,SFE242,AR-S,1701,'SFE242' is not in list
546,CAT004-01,,-26.067.757,-67.410.656,CAT004,AR-K,1332,'CAT004' is not in list
547,CAT004-02,,0,0,CAT004,AR-K,1332,'CAT004' is not in list
925,RNO017-01,Punto Digital,-38.957.324,-67.921.502,RNO017,AR-R,1569,'RNO017' is not in list
227,RNO017-02,Polideportivo,-38.954.059,-67.920.646,RNO017,AR-R,1569,'RNO017' is not in list
508,SGO105-01,,-27.686.083,-64.750.583,SGO105,AR-G,1627,'SGO105' is not in list
1098,BUE016-01,,0,0,BUE016,AR-B,1210,'BUE016' is not in list
1064,BUE016-02,,-34.800.840,-60.661.514,BUE016,AR-B,1210,'BUE016' is not in list
27,BUE016-03,Pza Eva Peron,-35.119.639,-60.479.278,BUE016,AR-B,1210,'BUE016' is not in list
28,BUE016-04,Pza San Martin,-35.112.694,-60.489.306,BUE016,AR-B,1210,'BUE016' is not in list
600,COR062-01,,-29.506.222,-56.974.639,COR062,AR-W,1411,'COR062' is not in list
634,BUE088-01,Costa Bonita,-38.561.178,-58.628.331,BUE088,AR-B,1283,'BUE088' is not in list
698,BUE088-02,,-38.459.861,-58.761.311,BUE088,AR-B,1283,'BUE088' is not in list
745,SFE188-01,,0,0,SFE188,AR-S,1692,'SFE188' is not in list
812,NEU020-01,,-36.988.392,-70.749.863,NEU020,AR-Q,1552,'NEU020' is not in list
716,JUJ029-01,Municipalidad,-23.625.472,-65.409.638,JUJ029,AR-Y,1469,'JUJ029' is not in list
821,SGO108-01,,-27.914.901,-62.175.558,SGO108,AR-G,1630,'SGO108' is not in list
911,RNO064-01,,-38.831.893,-64.934.104,RNO064,AR-R,1577,'RNO064' is not in list
1166,CHA002-01,,0,0,CHA002,AR-H,1347,'CHA002' is not in list
1167,CHA002-02,,0,0,CHA002,AR-H,1347,'CHA002' is not in list
681,CHA002-03,,0,0,CHA002,AR-H,1347,'CHA002' is not in list
1201,SFE301-01,,0,0,SFE301,AR-S,1683,'SFE301' is not in list
1244,CAT032-01,,0,0,CAT032,AR-K,1337,'CAT032' is not in list
1048,CAT032-02,,0,0,CAT032,AR-K,1337,'CAT032' is not in list
1107,CAT032-03,,0,0,CAT032,AR-K,1337,'CAT032' is not in list
244,BUE133-01,PD Villarino,-39.034.971,-62.638.403,BUE133,AR-B,1328,'BUE133' is not in list
504,BUE133-02,Villarino,-38.829.338,-62.693.699,BUE133,AR-B,1328,'BUE133' is not in list
935,JUJ047-01,Punto Digital,-24.190.683,-65.312.052,JUJ047,AR-Y,1474,'JUJ047' is not in list
217,JUJ047-02,Punto Digital,-24.190.824,-65.311.990,JUJ047,AR-Y,1474,'JUJ047' is not in list
1311,SLU005-01,,0,0,SLU005,AR-D,1599,'SLU005' is not in list
359,LAP060-01,Municipalidad,-35.038.389,-64.247.250,LAP060,AR-L,1476,'LAP060' is not in list
719,JUJ038-01,Municipalidad,-24.483.389,-64.950.250,JUJ038,AR-Y,1460,'JUJ038' is not in list
384,SJU008-01,Punto Digital,-31.669.235,-68.390.480,SJU008,AR-J,1586,'SJU008' is not in list
855,SJU008-02,Las Chacritas(Escuela Procesa Sarmiento de Lenoir),-32.000.000,-68.000.000,SJU008,AR-J,1586,'SJU008' is not in list
1161,CHA007-01,,0,0,CHA007,AR-H,1350,'CHA007' is not in list
1318,JUJ051-01,,0,0,JUJ051,AR-Y,1465,'JUJ051' is not in list
1017,CBA106-01,Punto Digital,-31.648.112,-63.761.954,CBA106,AR-X,1398,'CBA106' is not in list
1087,TUC107-01,,-27.333.221,-65.750.038,TUC107,AR-T,1650,'TUC107' is not in list
265,SCR019-01,PD Canadon Seco,-46.532.364,-67.551.778,SCR019,AR-Z,1607,'SCR019' is not in list
303,COR033-01,Municipalidad de Loreto VSAT,-27.768.559,-57.274.793,COR033,AR-W,1428,'COR033' is not in list
948,BUE063-01,Punto Digital Junin,-34.569.749,-60.931.151,BUE063,AR-B,1257,'BUE063' is not in list
47,BUE063-02,Laguna,-34.661.861,-61.019.583,BUE063,AR-B,1257,'BUE063' is not in list
48,BUE063-03,Pza 25 de Mayo,-34.593.694,-60.946.306,BUE063,AR-B,1257,'BUE063' is not in list
1250,SFE224-01,,0,0,SFE224,AR-S,1692,'SFE224' is not in list
839,BUE046-01,,-36.651.008,-57.792.496,BUE046,AR-B,1240,'BUE046' is not in list
753,BUE046-02,PD General Guido,-36.641.810,-57.793.289,BUE046,AR-B,1240,'BUE046' is not in list
236,BUE125-01,PD Tornquist,-38.101.422,-62.224.908,BUE125,AR-B,1320,'BUE125' is not in list
690,BUE093-01,Municipalidad,-36.267.817,-63.164.539,BUE093,AR-B,1288,'BUE093' is not in list
319,MIS032-01,Oficina de Turismo,-26.019.639,-54.585.611,MIS032,AR-N,1544,'MIS032' is not in list
926,MIS032-02,Punto Digital,-26.026.474,-54.612.565,MIS032,AR-N,1544,'MIS032' is not in list
663,CHU021-01,salon de usos multiples,-43.000.000,-68.000.000,CHU021,AR-U,1375,'CHU021' is not in list
721,LRJ006-01,Municipalidad,-28.925.778,-67.519.667,LRJ006,AR-F,1502,'LRJ006' is not in list
932,LRJ006-02,Punto Digital,-28.925.523,-67.520.324,LRJ006,AR-F,1502,'LRJ006' is not in list
366,LAP067-01,Municipalidad,-35.000.000,-64.000.000,LAP067,AR-L,1483,'LAP067' is not in list
695,BUE102-01,Punto Digital,-33.487.032,-59.989.087,BUE102,AR-B,1297,1297 is not in list
364,SLU057-01,Punto Digital,-35.150.680,-65.941.011,SLU057,AR-D,1599,'SLU057' is not in list
771,NEU007-01,Caviahue,-37.867.550,-71.050.469,NEU007,AR-Q,1555,'NEU007' is not in list
904,NEU007-02,Copahue,-37.817.653,-71.098.492,NEU007,AR-Q,1555,'NEU007' is not in list
1308,SAL034-01,,0,0,SAL034,AR-A,1669,'SAL034' is not in list
898,CHU010-01,Municipalidad,-43.535.113,-71.466.488,CHU010,AR-U,1371,'CHU010' is not in list
1000,SFE049-01,Punto Digital,-32.802.169,-60.726.648,SFE049,AR-S,1687,'SFE049' is not in list
337,COR069-01,,0,0,COR069,AR-W,1431,'COR069' is not in list
1129,BUE113-01,,0,0,BUE113,AR-B,1308,'BUE113' is not in list
1299,TUC109-01,,0,0,TUC109,AR-T,1643,'TUC109' is not in list
342,CHA017-01,Polideportivo,-27.529.667,-59.572.583,CHA017,AR-H,1349,'CHA017' is not in list
1319,JUJ002-01,,0,0,JUJ002,AR-Y,1459,'JUJ002' is not in list
543,JUJ002-02,Rachaite-Escuela,-22.829.737,-66.061.072,JUJ002,AR-Y,1459,'JUJ002' is not in list
1320,JUJ002-03,,0,0,JUJ002,AR-Y,1459,'JUJ002' is not in list
1015,JUJ002-04,Alfarcito,-23.319.888,-65.971.871,JUJ002,AR-Y,1459,'JUJ002' is not in list
864,MIS068-01,San Pedro - Anfiteatro Municipal,-26.624.889,-54.111.917,MIS068,AR-N,1549,'MIS068' is not in list
717,JUJ011-01,Municipalidad,-23.866.722,-67.000.083,JUJ011,AR-Y,1465,'JUJ011' is not in list
579,LAP065-01,SENASA Santa Rosa,-37.000.000,-64.000.000,LAP065,AR-L,1480,'LAP065' is not in list
360,LAP065-02,Santa Rosa - Plaza San Martin,-36.620.590,-64.290.393,LAP065,AR-L,1480,'LAP065' is not in list
1302,SAL046-01,,0,0,SAL046,AR-A,1672,'SAL046' is not in list
560,MIS016-01,Municipalidad,-27.633.306,-55.496.972,MIS016,AR-N,1534,'MIS016' is not in list
1076,CAT016-01,,-27.715.778,-67.115.472,CAT016,AR-K,1333,'CAT016' is not in list
982,TUC034-01,Puestito PD,-26.420.287,-64.784.684,TUC034,AR-T,1651,'TUC034' is not in list
965,TUC034-02,Comuna,-26.420.030,-64.775.878,TUC034,AR-T,1651,'TUC034' is not in list
1309,SAL059-01,,0,0,SAL059,AR-A,1682,'SAL059' is not in list
1216,SAL059-02,,0,0,SAL059,AR-A,1682,'SAL059' is not in list
585,COR007-01,Municipalidad,-28.536.325,-57.172.278,COR007,AR-W,1415,'COR007' is not in list
586,COR007-02,,0,0,COR007,AR-W,1415,'COR007' is not in list
298,COR007-03,Punto Digital,-28.536.325,-57.172.278,COR007,AR-W,1415,'COR007' is not in list
770,SFE126-01,,0,0,SFE126,AR-S,1687,'SFE126' is not in list
946,BUE032-01,PD Huanguelen,-37.062.466,-61.938.720,BUE032,AR-B,1226,'BUE032' is not in list
986,CBA222-01,Plazoleta Municipal,-30.926.684,-64.500.396,CBA222,AR-X,1396,'CBA222' is not in list
272,CBA222-02,PD Los Cocos,-30.925.047,-64.506.365,CBA222,AR-X,1396,'CBA222' is not in list
699,ERI032-01,Municipalidad,-33.000.000,-58.998.083,ERI032,AR-E,1433,'ERI032' is not in list
243,BUE073-01,PD Lobos,-35.151.806,-59.099.222,BUE073,AR-B,1268,'BUE073' is not in list
59,BUE073-02,Museo,-35.182.111,-59.091.611,BUE073,AR-B,1268,'BUE073' is not in list
60,BUE073-03,,-35.171.833,-59.099.889,BUE073,AR-B,1268,'BUE073' is not in list
61,BUE073-04,,-35.151.806,-59.099.222,BUE073,AR-B,1268,'BUE073' is not in list
552,CHA068-01,,-25.636.944,-60.265.194,CHA068,AR-H,1358,'CHA068' is not in list
1256,SLU019-01,,0,0,SLU019,AR-D,1599,'SLU019' is not in list
1314,SLU019-02,,0,0,SLU019,AR-D,1599,'SLU019' is not in list
257,SCR010-01,PD Puerto San Julian,-49.309.832,-67.741.390,SCR010,AR-Z,1612,'SCR010' is not in list
191,SCR010-02,,-49.304.007,-67.736.349,SCR010,AR-Z,1612,'SCR010' is not in list
885,ERI035-01,Macia - Galpon principal (lado sur del predio),-32.173.904,-59.396.261,ERI035,AR-E,1446,'ERI035' is not in list
884,ERI035-02,Macia - En Escenario (Lado norte del predio),-32.174.311,-59.396.249,ERI035,AR-E,1446,'ERI035' is not in list
142,ERI035-03,Macia - En luminaria (centro-sur del predio),-32.175.201,-59.396.222,ERI035,AR-E,1446,'ERI035' is not in list
143,ERI035-04,Macia - En luminaria (Centro-norte del Predio),-32.174.728,-59.396.272,ERI035,AR-E,1446,'ERI035' is not in list
387,MZA018-01,Municipalidad,-33.000.000,-69.000.000,MZA018,AR-M,1532,'MZA018' is not in list
1202,SFE360-01,,0,0,SFE360,AR-S,1684,'SFE360' is not in list
902,NEU057-01,,-38.864.285,-69.744.006,NEU057,AR-Q,1558,'NEU057' is not in list
727,SAL015-01,El Galpon - Municipalidad,-25.380.111,-64.654.389,SAL015,AR-A,1670,1670 is not in list
694,SGO066-01,,-28.815.028,-62.843.222,SGO066,AR-G,1625,'SGO066' is not in list
1121,CBA157-01,,0,0,CBA157,AR-X,1388,'CBA157' is not in list
1002,COR027-01,,0,0,COR027,AR-W,1417,'COR027' is not in list
1090,SFE108-01,,-31.059.175,-60.744.975,SFE108,AR-S,1694,'SFE108' is not in list
