municipio_id,provincia_id,id_departamento,municipio,provincia,departamento ,error
CBA168,AR-S,1695,La Sarita,Santa Fe,General Obligado,El formato del id de municipio no coincide con la provincia
COR059,AR-B,1230,Escobar,Buenos Aires,Escobar,El formato del id de municipio no coincide con la provincia
NEU017,AR-B,1230,Escobar,Buenos Aires,Escobar,El formato del id de municipio no coincide con la provincia
SFE180,AR-B,1230,Escobar,Buenos Aires,Escobar,El formato del id de municipio no coincide con la provincia
SGO085,AR-X,1402,Los Talares,Cordoba,Pocho,El formato del id de municipio no coincide con la provincia
RNO058,AR-X,1402,Los Talares,Cordoba,Pocho,El formato del id de municipio no coincide con la provincia
SFE295,AR-B,1271,Magdalena,Buenos Aires,Magdalena,El formato del id de municipio no coincide con la provincia
ERI013,AR-B,1271,Magdalena,Buenos Aires,Magdalena,El formato del id de municipio no coincide con la provincia
SFE260,AR-B,1271,Magdalena,Buenos Aires,Magdalena,El formato del id de municipio no coincide con la provincia
JUJ032,AR-N,1538,Candelaria,Misiones,Candelaria,El formato del id de municipio no coincide con la provincia
CHA001,AR-U,1369,Buen Pasto,Chubut,Sarmiento,El formato del id de municipio no coincide con la provincia
CBA095,AR-M,1530,Santa Rosa,Mendoza,Santa Rosa,El formato del id de municipio no coincide con la provincia
TUC106,AR-M,1530,Santa Rosa,Mendoza,Santa Rosa,El formato del id de municipio no coincide con la provincia
COR030,AR-M,1530,Santa Rosa,Mendoza,Santa Rosa,El formato del id de municipio no coincide con la provincia
SFE217,AR-Y,1461,Rodeito,Jujuy,San Pedro,El formato del id de municipio no coincide con la provincia
CBA329,AR-Y,1461,Rodeito,Jujuy,San Pedro,El formato del id de municipio no coincide con la provincia
MZA012,AR-B,1321,Trenque Lauquen,Buenos Aires,Trenque Lauquen,El formato del id de municipio no coincide con la provincia
ERI041,AR-J,1594,Ullum,San Juan,Ullum,El formato del id de municipio no coincide con la provincia
CHU015,AR-J,1594,Ullum,San Juan,Ullum,El formato del id de municipio no coincide con la provincia
LRJ001,AR-N,1540,Ruiz de Montoya,Misiones,Libertador General San Martin,El formato del id de municipio no coincide con la provincia
BUE097,AR-T,1652,Yerba Buena,Tucuman,Yerba Buena,El formato del id de municipio no coincide con la provincia
SLU044,AR-T,1652,Yerba Buena,Tucuman,Yerba Buena,El formato del id de municipio no coincide con la provincia
NEU005,AR-T,1652,Yerba Buena,Tucuman,Yerba Buena,El formato del id de municipio no coincide con la provincia
CHU005,AR-W,1419,Riachuelo,Corrientes,Capital,El formato del id de municipio no coincide con la provincia
BUE042,AR-W,1419,Riachuelo,Corrientes,Capital,El formato del id de municipio no coincide con la provincia
SFE040,AR-B,1278,Monte,Buenos Aires,Monte,El formato del id de municipio no coincide con la provincia
COR065,AR-B,1278,Monte,Buenos Aires,Monte,El formato del id de municipio no coincide con la provincia
MZA011,AR-B,1278,Monte,Buenos Aires,Monte,El formato del id de municipio no coincide con la provincia
TUC097,AR-S,1694,Nelson,Santa Fe,La Capital,El formato del id de municipio no coincide con la provincia
CHA015,AR-S,1694,Nelson,Santa Fe,La Capital,El formato del id de municipio no coincide con la provincia
CBA246,AR-S,1694,Nelson,Santa Fe,La Capital,El formato del id de municipio no coincide con la provincia
JUJ010,AR-T,1651,El Timbo,Tucuman,Burruyacu,El formato del id de municipio no coincide con la provincia
SAL040,AR-X,1391,Villa General Belgrano,Cordoba,Calamuchita,El formato del id de municipio no coincide con la provincia
MIS015,AR-E,1438,Villa Paranacito,Entre Rios,Islas del Ibicuy,El formato del id de municipio no coincide con la provincia
CAT012,AR-N,1544,Puerto Libertad,Misiones,Iguazu,El formato del id de municipio no coincide con la provincia
SFE116,AR-U,1376,Gastre,Chubut,Gastre,El formato del id de municipio no coincide con la provincia
BUE025,AR-U,1376,Gastre,Chubut,Gastre,El formato del id de municipio no coincide con la provincia
CHA054,AR-U,1376,Gastre,Chubut,Gastre,El formato del id de municipio no coincide con la provincia
LAP007,AR-U,1376,Gastre,Chubut,Gastre,El formato del id de municipio no coincide con la provincia
MZA001,AR-N,1547,Posadas,Misiones,Capital,El formato del id de municipio no coincide con la provincia
SFE325,AR-N,1547,Posadas,Misiones,Capital,El formato del id de municipio no coincide con la provincia
NEU053,AR-N,1547,Posadas,Misiones,Capital,El formato del id de municipio no coincide con la provincia
SAL010,AR-N,1547,Posadas,Misiones,Capital,El formato del id de municipio no coincide con la provincia
CBA155,AR-N,1547,Posadas,Misiones,Capital,El formato del id de municipio no coincide con la provincia
CBA308,AR-F,1509,Independencia,La Rioja,Independencia,El formato del id de municipio no coincide con la provincia
TUC015,AR-F,1508,General San Martin,La Rioja,General San Martin,El formato del id de municipio no coincide con la provincia
COR020,AR-B,1325,Veinticinco de Mayo,Buenos Aires,Veinticinco de Mayo,El formato del id de municipio no coincide con la provincia
